ID,Start time,Completion time,Last modified time,Do you agree with the terms and conditions?,Year Level,Institute,Degree Program - IABF - Manila,Degree Program - IARFA,Degree Program - IAS,Degree Program - IE,Degree Program - IHSN,Degree Program - ITHM,Degree Program - FEU Makati,Are you currently a working student?,Are you currently taking Wellness and Recreation Program (WRP) this 1st Semester?,What is your WRP curriculum?,Were you able to secure a slot that is convenient for your time?,What are the reasons that your slot is inconvenient for you?,"What schedule of WRP should be opened with more slots? 

(Select at most 3.)
",There should be a walk-in session (Community Dance Fitness) in the afternoon.,The one fixed booking per week is not enough for me to comply with the minimum-hour requirement.,The WRP booking system is accessible.,Walk-in sessions are more reliable than scheduling an appointment through Power Apps.,"There are enough WRP considerations offered for students with disabilities (physical, mental, etc.)",The WRP time slot I enrolled does not reflect on the student central.,The new policies and guidelines of WRP for the Academic Year 2023-2024 consider the welfare of the students from all year levels.,"On a scale of 1 to 10, how satisfied are you with the overall procedures and new system of the Wellness and Recreation Program?","Please put any other concerns, suggestions, and recommendations you may have in relation to the new guidelines released about the Wellness and Recreation Program that is not stated in this survey."
27,8/16/23 22:50:41,8/16/23 22:52:34,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Language and Literature Studies (English Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Wednesday 7:30 AM - 9:00 AM;Wednesday 9:00 AM - 10:30 AM;Wednesday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,N/A
28,8/16/23 22:49:23,8/16/23 22:52:35,,Yes,1st Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;Conflicting Schedule;,Wednesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,1,"Please, be more responsible "
29,8/16/23 22:49:11,8/16/23 22:52:42,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,Employed (Part-time),Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;,Tuesday 12:00 PM - 1:30 PM;Friday 3:00 PM - 4:30 PM;Saturday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,1,"to the WRP dept., at least consider man lang to lessen the hours please lang po di talaga siya nakakatulong sa students niyo ??????"
30,8/16/23 22:48:26,8/16/23 22:52:42,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 3:00 PM - 4:30 PM;Wednesday 9:00 AM - 10:30 AM;Wednesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,1,The max that should be book via power apps must be 2 sessions
31,8/16/23 22:49:10,8/16/23 22:52:46,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Wednesday 12:00 PM - 1:30 PM;Wednesday 1:30 PM - 3:00 PM;Wednesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,3,"Make the system, 3 bookings per week again. "
32,8/16/23 22:48:58,8/16/23 22:52:52,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 3:00 PM - 4:30 PM;Wednesday 4:30 PM - 6:00 PM;Friday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,1,Lower down the required hours and NO wrp for upper years.
33,8/16/23 22:51:37,8/16/23 22:52:55,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,No,,,,,,,,,,,,,
34,8/16/23 22:51:01,8/16/23 22:52:59,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Saturday 9:00 AM - 10:30 AM;,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,5,N
35,8/16/23 22:49:01,8/16/23 22:53:01,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Limited Slots of Other Schedules;,Tuesday 3:00 PM - 4:30 PM;Wednesday 10:30 AM - 12:00 PM;Friday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,1,wala na dapat wrp for 3rd and 4th yr students. 
36,8/16/23 22:48:43,8/16/23 22:53:01,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 1:30 PM - 3:00 PM ;Tuesday 1:30 PM - 3:00 PM;Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,1,none
37,8/16/23 22:49:41,8/16/23 22:53:01,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Limited Slots of Other Schedules;,Saturday 6:00 PM - 7:30 PM;Saturday 4:30 PM - 6:00 PM;Saturday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,1,Open more slots.
38,8/16/23 22:48:05,8/16/23 22:53:03,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Friday 7:30 AM - 9:00 AM;Friday 4:30 PM - 6:00 PM;Friday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,3,N/A
39,8/16/23 22:49:19,8/16/23 22:53:21,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 10:30 AM - 12:00 PM;Wednesday 12:00 PM - 1:30 PM;Wednesday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,1,"Always provide prior notice before implementing new guidelines. Think about the well being of the students before calling this subject a WELLNESS AND RECREATION PROGRAM, because it is just causing too much stress and anxiety, given that the guidelines are just implemented without a proper introduction and notice."
40,8/16/23 22:50:15,8/16/23 22:53:27,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;,Saturday 9:00 AM - 10:30 AM;Monday 9:00 AM - 10:30 AM;Saturday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,Please clarify the new wrp system for this semester. Thanks.
41,8/16/23 22:49:24,8/16/23 22:53:44,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 6:00 PM - 7:30 PM;Thursday 4:30 PM - 6:00 PM;Saturday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,Please just retain the old system of wrp where we can book 3 activities per week but with a more efficient powerapps + lessen the hrs for 3rd - 5th yr students. 
42,8/16/23 22:50:58,8/16/23 22:53:46,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Microbiology Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Wednesday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,1,"Remove the fixed schedule or better, remove the actual program for 3rd and up levels"
43,8/16/23 22:49:45,8/16/23 22:53:47,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 3:00 PM - 4:30 PM;Monday 9:00 AM - 10:30 AM;Wednesday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,1,The time schedule in the section I enrolled in does not match the fixed schedule announced by the WRP department
44,8/16/23 22:51:38,8/16/23 22:53:48,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;Limited Slots of Other Schedules;,Wednesday 1:30 PM - 3:00 PM;Monday 1:30 PM - 3:00 PM ;Tuesday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,1,No activities appeared on the booking app during our allotted time slot for booking
45,8/16/23 22:51:12,8/16/23 22:54:02,,Yes,5th Year,Institute of Architecture and Fine Arts,,Bachelor of Science in Architecture (Building Construction Track),,,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Tuesday 12:00 PM - 1:30 PM;Friday 1:30 PM - 3:00 PM;Monday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"just bring back the old wrp system, in which we can book up to 3 sessions per week. "
46,8/16/23 22:51:28,8/16/23 22:54:02,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Science in Applied Mathematics (Data Science Track),,,,,Employed (Part-time),Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Monday 6:00 PM - 7:30 PM ;Tuesday 6:00 PM - 7:30 PM;Wednesday 6:00 PM - 7:30 PM;,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly disagree,4,None
47,8/16/23 22:50:26,8/16/23 22:54:06,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 9:00 AM - 10:30 AM;Wednesday 10:30 AM - 12:00 PM;Wednesday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,1,"please abolish WRP for 3rd year and 4th year students because our subjects is already focused on professional courses. we need more time to focus on our subjects but because of WRP, our time is divided because of wrp instead focusing on our subject"
48,8/16/23 22:48:23,8/16/23 22:54:10,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Monday 1:30 PM - 3:00 PM ;Monday 12:00 PM - 1:30 PM;Thursday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,1,The new system is not student-friendly. We are not informed that the schedule is going to be fixed before the enrollment so we chose schedule thinking that WRP guidelines will still be the same as last semester. I hope the WRP department will hear the concern of the students and bring back the old system.
49,8/16/23 22:51:14,8/16/23 22:54:13,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Wednesday 12:00 PM - 1:30 PM;Monday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,1,Please give the instructions clearly and understand that there are students especially those who are in 3rd yr and 4th yr who still needs to comply to this subject despite having duties or ojt
50,8/16/23 22:51:31,8/16/23 22:54:17,,Yes,5th Year,Institute of Architecture and Fine Arts,,Bachelor of Science in Architecture (Building Construction Track),,,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 1:30 PM - 3:00 PM;Saturday 1:30 PM - 3:00 PM;Monday 1:30 PM - 3:00 PM ;,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,3,Abolish WRP for upper years.
